Source,Target,Weight
embedding.weight,embedding.bias,1
embedding.bias,lstm.weight_ih_l0,1
lstm.weight_ih_l0,lstm.weight_hh_l0,1
lstm.weight_hh_l0,lstm.bias_ih_l0,1
lstm.bias_ih_l0,lstm.bias_hh_l0,1
lstm.bias_hh_l0,lstm.weight_ih_l1,1
lstm.weight_ih_l1,lstm.weight_hh_l1,1
lstm.weight_hh_l1,lstm.bias_ih_l1,1
lstm.bias_ih_l1,lstm.bias_hh_l1,1
lstm.bias_hh_l1,lstm.weight_ih_l2,1
lstm.weight_ih_l2,lstm.weight_hh_l2,1
lstm.weight_hh_l2,lstm.bias_ih_l2,1
lstm.bias_ih_l2,lstm.bias_hh_l2,1
lstm.bias_hh_l2,lstm.weight_ih_l3,1
lstm.weight_ih_l3,lstm.weight_hh_l3,1
lstm.weight_hh_l3,lstm.bias_ih_l3,1
lstm.bias_ih_l3,lstm.bias_hh_l3,1
lstm.bias_hh_l3,fc.0.weight,1
fc.0.weight,fc.0.bias,1
fc.0.bias,fc.3.weight,1
fc.3.weight,fc.3.bias,1
